"Options.SECTION:[algernon.529Tiles]"	"529 Tiles"
"Options.OPTION:UnlockNone"	"No extra tiles"
"Options.OPTION_DESCRIPTION:UnlockNone"	"Keep the base game behavior and don't provide any extra tile unlocks."
"Options.OPTION:UnlockAll"	"Lås alle felter op"
"Options.OPTION_DESCRIPTION:UnlockAll"	"Lås automatisk alle felter på kortet op med det samme, når du starter en ny by (eller indlæser en eksisterende)."
"Options.OPTION:ExtraTilesAtStart"	"Få flere felter ved start"
"Options.OPTION_DESCRIPTION:ExtraTilesAtStart"	"Adds the additional tiles as immediately-available tile unlocks when you first start a new city (all milestones will add their usual amount of tile unlocks on top of this)."
"Options.OPTION:ExtraTilesAtEnd"	"Tildel ekstra felter til endelig milepæl"
"Options.OPTION_DESCRIPTION:ExtraTilesAtEnd"	"Adds the additional tile unlocks to the final milestone."
"Options.OPTION:AssignToMilestones"	"Tildel ekstra felter til milepæle"
"Options.OPTION_DESCRIPTION:AssignToMilestones"	"Allocates the additional tile unlocks across all regular game milestones, in proportion to the normal amount for each milestone."
"Options.OPTION:NoStartingTiles"	"Vælg startfelter"
"Options.OPTION_DESCRIPTION:NoStartingTiles"	"Hvis dette er valgt, vil der ikke automatisk blive tildelt startfelter, når du starter et nyt spil. Du kan i stedet vælge dine egne startfelter (de første ni felter vil være gratis)."
"Options.OPTION:UpkeepMultiplier"	"Tile upkeep multiplier"
"Options.OPTION_DESCRIPTION:UpkeepMultiplier"	"The game's default tile upkeep cost will be multiplied by this percentage.  Set this to zero to completely disable tile upkeep."
"Options.OPTION:ResetModSettings"	"Nulstil til standardindstillinger"
"Options.OPTION_DESCRIPTION:ResetModSettings"	"Nulstiller alle '529 Tiles' indstillinger til standard."
"Options.WARNING:ResetModSettings"	"Vil du nulstille alle '529 Tiles' indstillinger til standard? Dette kan ikke fortrydes."
"Options.OPTION:RelockAllTiles"	"Lås alle felter igen"
"Options.OPTION_DESCRIPTION:RelockAllTiles"	"Låser alle ulåste fliser igen; du kan straks igen købe fliser op til den grænse, du har tjent."
