"Options.SECTION:[algernon.529Tiles]"	"529 Tiles"
"Options.OPTION:UnlockNone"	"Pas de tuiles supplémentaires"
"Options.OPTION_DESCRIPTION:UnlockNone"	"Garder le comportement de base du jeu et ne pas débloquer de tuile supplémentaire."
"Options.OPTION:UnlockAll"	"Déverrouiller toutes les tuiles"
"Options.OPTION_DESCRIPTION:UnlockAll"	"Déverrouille automatiquement et immédiatement toutes les tuiles de la carte lorsque vous démarrez une nouvelle ville (ou chargez une existante)."
"Options.OPTION:ExtraTilesAtStart"	"Fournir des tuiles supplémentaires au départ"
"Options.OPTION_DESCRIPTION:ExtraTilesAtStart"	"Ajoute les tuiles supplémentaires immédiatement lorsque vous commencez une nouvelle ville et vous pourrez par la suite les déverrouiller (toutes les étapes ajouteront leur quantité habituelle de tuiles déblocables en plus)."
"Options.OPTION:ExtraTilesAtEnd"	"Fournir des tuiles supplémentaires lors du dernier jalon"
"Options.OPTION_DESCRIPTION:ExtraTilesAtEnd"	"Ajoute le déverrouillage des tuiles supplémentaire à l'étape finale."
"Options.OPTION:AssignToMilestones"	"Fournir des tuiles supplémentaires à chaque étape"
"Options.OPTION_DESCRIPTION:AssignToMilestones"	"Répartir les tuiles supplémentaires débloquées entre toutes les étapes de progression du jeu tout en gardant les mêmes proportions par étapes que le jeu de base."
"Options.OPTION:NoStartingTiles"	"Sélectionnez les tuiles de départ"
"Options.OPTION_DESCRIPTION:NoStartingTiles"	"Si cette option est sélectionnée, aucune tuile de départ ne sera débloquée automatiquement au début d'une nouvelle partie. À la place, vous pourrez choisir vos propres tuiles de départ (les neuf premières sont gratuites)."
"Options.OPTION:UpkeepMultiplier"	"Multiplicateur de coût d'entretien des tuiles"
"Options.OPTION_DESCRIPTION:UpkeepMultiplier"	"Le coût d'entretien des tuiles par défaut du jeu sera multiplié par ce pourcentage. Réglez cette valeur à zéro pour désactiver complètement l'entretien des tuiles."
"Options.OPTION:ResetModSettings"	"Réinitialiser aux valeurs par défaut"
"Options.OPTION_DESCRIPTION:ResetModSettings"	"Réinitialise par défaut tous les paramètres du mod."
"Options.WARNING:ResetModSettings"	"Réinitialiser tous les paramètres de 529 Tiles par défaut ? Cette action est irréversible."
"Options.OPTION:RelockAllTiles"	"Re-verrouiller toutes les tuiles"
"Options.OPTION_DESCRIPTION:RelockAllTiles"	"Reverrouiller toutes les tuiles débloquées ; vous pourrez immédiatement racheter des carreaux dans la limite du nombre que vous avez gagné."
