"Options.SECTION:[algernon.529Tiles]"	"529 Tiles"
"Options.OPTION:UnlockNone"	"No extra tiles"
"Options.OPTION_DESCRIPTION:UnlockNone"	"Keep the base game behavior and don't provide any extra tile unlocks."
"Options.OPTION:UnlockAll"	"すべてのタイルをアンロックする"
"Options.OPTION_DESCRIPTION:UnlockAll"	"新しい都市を始めたとき(または既存の都市をロードしたとき)、マップ上のすべてのタイルを自動かつ即座にアンロックします。"
"Options.OPTION:ExtraTilesAtStart"	"開始時に追加のタイルを割り当てる"
"Options.OPTION_DESCRIPTION:ExtraTilesAtStart"	"新しい都市を開始したときに追加のタイルをアンロック可能にします
(各マイルストーンで得られる拡張許可の数には影響しません)。"
"Options.OPTION:ExtraTilesAtEnd"	"最後のマイルストーンに追加のタイルを割り当てる"
"Options.OPTION_DESCRIPTION:ExtraTilesAtEnd"	"最後のマイルストーンで追加のタイルをアンロックします。"
"Options.OPTION:AssignToMilestones"	"各マイルストーンに追加のタイルを割り当てる"
"Options.OPTION_DESCRIPTION:AssignToMilestones"	"通常のマイルストーンで得られるタイルの数に比例するように、追加のタイルを各マイルストーンに配分します。"
"Options.OPTION:NoStartingTiles"	"開始時のタイルを選択する"
"Options.OPTION_DESCRIPTION:NoStartingTiles"	"選択されている場合、ニューゲーム開始時に初期タイルがアンロックされなくなる代わりに、自分自身で開始タイルを選択することができるようになります(最初の9タイルは無償で購入できます)。"
"Options.OPTION:UpkeepMultiplier"	"タイル維持費の乗数"
"Options.OPTION_DESCRIPTION:UpkeepMultiplier"	"デフォルトのタイル維持費にこの割合が乗算されます。タイル維持費を完全に無効にするには、これを0に設定してください。"
"Options.OPTION:ResetModSettings"	"初期設定に戻す"
"Options.OPTION_DESCRIPTION:ResetModSettings"	"529 Tiles modの設定を初期化します。"
"Options.WARNING:ResetModSettings"	"529 Tilesの設定をすべて初期化しますか？元に戻すことはできません。"
"Options.OPTION:RelockAllTiles"	"すべてのタイルを再ロックする"
"Options.OPTION_DESCRIPTION:RelockAllTiles"	"アンロックしたすべてのタイルを再ロックします。獲得した上限までタイルをすぐに再購入できます。"
