"Options.SECTION:[algernon.529Tiles]"	"529 Tiles"
"Options.OPTION:UnlockAll"	"Desbloquear todos os blocos"
"Options.OPTION_DESCRIPTION:UnlockAll"	"Desbloqueia automáticamente e imediatamente todos os blocos do mapa quando você inicia uma nova cidade (ou carrega uma existente)."
"Options.OPTION:ExtraTilesAtStart"	"Forneça blocos extras no início do jogo"
"Options.OPTION_DESCRIPTION:ExtraTilesAtStart"	"Adiciona blocos adicionais como blocos desbloqueados imediatamente disponíveis quando você inicia uma nova cidade (todos os marcos adicionarão sua quantidade normal de blocos desbloqueados além disso)."
"Options.OPTION:ExtraTilesAtEnd"	"Fornece blocos extras no marco final"
"Options.OPTION_DESCRIPTION:ExtraTilesAtEnd"	"Adiciona os blocos adicionais desbloqueados ao marco final."
"Options.OPTION:AssignToMilestones"	"Aloque blocos extras para marcos"
"Options.OPTION_DESCRIPTION:AssignToMilestones"	"Aloca blocos adicionais desbloqueados em todos os marcos regulares do jogo, proporcionalmente à quantidade normal de cada marco."
"Options.OPTION:NoStartingTiles"	"Select initial starting tiles"
"Options.OPTION_DESCRIPTION:NoStartingTiles"	"If this is selected then no starting tiles will be automatically unlocked when starting a new game. Instead you can choose your own starting tiles (the first nine tiles will be free to purchase)."
"Options.OPTION:UpkeepMultiplier"	"Tile upkeep multiplier"
"Options.OPTION_DESCRIPTION:UpkeepMultiplier"	"The game's default tile upkeep cost will be multiplied by this percentage.  Set this to zero to completely disable tile upkeep."
"Options.OPTION:ResetModSettings"	"Reset to default"
"Options.OPTION_DESCRIPTION:ResetModSettings"	"Resets all 529 Tiles mod settings to default."
"Options.WARNING:ResetModSettings"	"Reset all 529 Tiles settings to default?  This cannot be undone."
"Options.OPTION:RelockAllTiles"	"Re-lock all tiles"
"Options.OPTION_DESCRIPTION:RelockAllTiles"	"Re-locks all unlocked tiles; you can immediately re-purchase tiles up to the limit that you've earned."
